epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,17.9057,0.56797,0.31068,0.90163,0.97514,1,0.99453,0.63977,1.24188,0.43928,1.70642,0.00156,0.00052,0.00156,0.00052,0.00156,0.00052,0.00156,0.00052
2,35.5371,0.52975,0.27815,0.9066,0.99072,1,0.995,0.62355,1.25908,0.41987,1.71091,0.00311704,0.00103901,0.00311704,0.00103901,0.00311704,0.00103901,0.00311704,0.00103901
3,52.2873,0.52836,0.29436,0.91026,0.99753,1,0.995,0.60902,1.3225,0.42238,1.73714,0.00460992,0.00153664,0.00460992,0.00153664,0.00460992,0.00153664,0.00460992,0.00153664
4,69.2736,0.5417,0.29388,0.89164,0.99819,1,0.995,0.58268,1.36693,0.45179,1.79447,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
5,85.7634,0.5449,0.302,0.92222,1,0.99793,0.995,0.58892,1.36296,0.46814,1.80089,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
6,102.2,0.54914,0.30298,0.90758,1,0.99707,0.995,0.59604,1.36211,0.45912,1.81173,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
