epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,513.534,0.85238,0.40417,1.08069,0.99828,1,0.995,0.62388,1.2302,0.40985,1.60511,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
32,530.911,0.89266,0.40365,1.06847,0.99769,1,0.995,0.61997,1.24827,0.42026,1.62869,0.00526344,0.00175448,0.00526344,0.00175448,0.00526344,0.00175448,0.00526344,0.00175448
33,547.738,0.82836,0.42892,1.04922,0.99793,1,0.995,0.61643,1.27705,0.43925,1.66176,0.00523968,0.00174656,0.00523968,0.00174656,0.00523968,0.00174656,0.00523968,0.00174656
34,564.016,0.82743,0.39859,1.04432,0.99961,1,0.995,0.59924,1.29916,0.45605,1.75055,0.00521592,0.00173864,0.00521592,0.00173864,0.00521592,0.00173864,0.00521592,0.00173864
35,580.696,0.83657,0.3955,1.04542,1,0.99697,0.995,0.60864,1.30634,0.46411,1.72598,0.00519216,0.00173072,0.00519216,0.00173072,0.00519216,0.00173072,0.00519216,0.00173072
36,597.039,0.80107,0.38252,1.03365,0.99721,0.97619,0.99453,0.60995,1.31138,0.44708,1.75255,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
37,613.629,0.81699,0.39122,1.04792,1,0.99939,0.995,0.62005,1.30661,0.4505,1.67312,0.00514464,0.00171488,0.00514464,0.00171488,0.00514464,0.00171488,0.00514464,0.00171488
38,630.124,0.7732,0.39073,0.99022,1,0.9979,0.995,0.61313,1.30179,0.44382,1.71199,0.00512088,0.00170696,0.00512088,0.00170696,0.00512088,0.00170696,0.00512088,0.00170696
39,646.686,0.76431,0.38469,1.02346,1,0.9976,0.995,0.61645,1.31287,0.43497,1.71829,0.00509712,0.00169904,0.00509712,0.00169904,0.00509712,0.00169904,0.00509712,0.00169904
40,663.096,0.78083,0.38946,1.01946,0.9993,1,0.995,0.59483,1.2924,0.41405,1.73577,0.00507336,0.00169112,0.00507336,0.00169112,0.00507336,0.00169112,0.00507336,0.00169112
41,679.496,0.7626,0.36809,0.99835,0.99815,1,0.995,0.5907,1.29829,0.40452,1.73053,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
42,695.852,0.70076,0.3561,1.00877,0.99835,1,0.995,0.60221,1.33266,0.4238,1.7367,0.00502584,0.00167528,0.00502584,0.00167528,0.00502584,0.00167528,0.00502584,0.00167528
43,712.286,0.67475,0.34475,0.9607,0.99497,1,0.995,0.60585,1.28814,0.41927,1.7313,0.00500208,0.00166736,0.00500208,0.00166736,0.00500208,0.00166736,0.00500208,0.00166736
44,729.017,0.72629,0.36384,1.00208,0.99557,1,0.995,0.60892,1.29199,0.42954,1.72985,0.00497832,0.00165944,0.00497832,0.00165944,0.00497832,0.00165944,0.00497832,0.00165944
45,745.755,0.67461,0.34478,0.98156,0.97402,1,0.99453,0.60356,1.2937,0.45661,1.70667,0.00495456,0.00165152,0.00495456,0.00165152,0.00495456,0.00165152,0.00495456,0.00165152
46,761.99,0.66665,0.33007,0.9627,0.97482,1,0.99453,0.60964,1.32387,0.45861,1.78732,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
47,778.492,0.6754,0.35237,0.99571,1,0.99367,0.995,0.60116,1.32954,0.46808,1.80689,0.00490704,0.00163568,0.00490704,0.00163568,0.00490704,0.00163568,0.00490704,0.00163568
48,794.685,0.68725,0.3433,0.96817,0.99581,1,0.995,0.59721,1.34135,0.45292,1.80012,0.00488328,0.00162776,0.00488328,0.00162776,0.00488328,0.00162776,0.00488328,0.00162776
49,811.353,0.66296,0.34681,0.97202,0.99734,1,0.995,0.57815,1.3293,0.4843,1.79235,0.00485952,0.00161984,0.00485952,0.00161984,0.00485952,0.00161984,0.00485952,0.00161984
50,828.462,0.65987,0.33917,0.98309,0.99334,1,0.995,0.58572,1.28972,0.46778,1.76447,0.00483576,0.00161192,0.00483576,0.00161192,0.00483576,0.00161192,0.00483576,0.00161192
51,844.66,0.64483,0.33835,0.9458,0.99108,1,0.995,0.59053,1.30316,0.4417,1.76523,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
52,860.9,0.66273,0.32941,0.95232,0.99888,1,0.995,0.586,1.28499,0.47331,1.6901,0.00478824,0.00159608,0.00478824,0.00159608,0.00478824,0.00159608,0.00478824,0.00159608
53,877.198,0.64875,0.32939,0.94322,0.99961,1,0.995,0.58245,1.28112,0.4359,1.6574,0.00476448,0.00158816,0.00476448,0.00158816,0.00476448,0.00158816,0.00476448,0.00158816
54,893.356,0.60697,0.31636,0.918,0.99965,1,0.995,0.5792,1.28418,0.4214,1.67067,0.00474072,0.00158024,0.00474072,0.00158024,0.00474072,0.00158024,0.00474072,0.00158024
55,910.011,0.61411,0.32583,0.92664,1,0.99998,0.995,0.60655,1.28985,0.42172,1.66591,0.00471696,0.00157232,0.00471696,0.00157232,0.00471696,0.00157232,0.00471696,0.00157232
56,927.042,0.62974,0.33353,0.9433,0.99827,1,0.995,0.6107,1.2837,0.40952,1.6807,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
57,943.179,0.64475,0.33243,0.93812,0.9985,1,0.995,0.62614,1.29539,0.41003,1.68499,0.00466944,0.00155648,0.00466944,0.00155648,0.00466944,0.00155648,0.00466944,0.00155648
58,959.523,0.64636,0.31851,0.95132,0.99894,1,0.995,0.61977,1.27117,0.40032,1.71266,0.00464568,0.00154856,0.00464568,0.00154856,0.00464568,0.00154856,0.00464568,0.00154856
59,975.673,0.59513,0.33163,0.93495,0.99772,1,0.995,0.6179,1.26153,0.43831,1.70199,0.00462192,0.00154064,0.00462192,0.00154064,0.00462192,0.00154064,0.00462192,0.00154064
60,991.777,0.62885,0.32705,0.94903,0.99869,1,0.995,0.60896,1.28186,0.42849,1.68178,0.00459816,0.00153272,0.00459816,0.00153272,0.00459816,0.00153272,0.00459816,0.00153272
61,1007.87,0.60984,0.3248,0.93782,0.99889,1,0.995,0.61409,1.26583,0.43421,1.66444,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
62,1024.83,0.63252,0.33681,0.92346,0.99792,1,0.995,0.62398,1.25991,0.4221,1.66112,0.00455064,0.00151688,0.00455064,0.00151688,0.00455064,0.00151688,0.00455064,0.00151688
63,1041.27,0.53636,0.29442,0.90714,1,0.99882,0.995,0.6251,1.2328,0.42345,1.64662,0.00452688,0.00150896,0.00452688,0.00150896,0.00452688,0.00150896,0.00452688,0.00150896
64,1058.06,0.56555,0.31204,0.90907,0.99868,0.97619,0.99409,0.62139,1.25458,0.43276,1.67558,0.00450312,0.00150104,0.00450312,0.00150104,0.00450312,0.00150104,0.00450312,0.00150104
65,1074.11,0.55497,0.30721,0.92094,0.9994,0.97619,0.99453,0.62259,1.25791,0.4289,1.70114,0.00447936,0.00149312,0.00447936,0.00149312,0.00447936,0.00149312,0.00447936,0.00149312
66,1090.29,0.5403,0.30449,0.93405,0.9767,0.99808,0.99453,0.64126,1.24732,0.44266,1.72034,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
67,1106.82,0.5179,0.28532,0.89973,0.97673,0.99929,0.99453,0.64917,1.23294,0.43102,1.71114,0.00443184,0.00147728,0.00443184,0.00147728,0.00443184,0.00147728,0.00443184,0.00147728
68,1123.45,0.57478,0.30719,0.91524,0.99188,1,0.995,0.63172,1.27757,0.44348,1.73188,0.00440808,0.00146936,0.00440808,0.00146936,0.00440808,0.00146936,0.00440808,0.00146936
69,1140.19,0.58628,0.31827,0.92377,0.99516,0.97619,0.99453,0.63096,1.26249,0.43148,1.70037,0.00438432,0.00146144,0.00438432,0.00146144,0.00438432,0.00146144,0.00438432,0.00146144
70,1156.76,0.51867,0.30589,0.88656,0.97456,1,0.99453,0.63517,1.26731,0.44136,1.7143,0.00436056,0.00145352,0.00436056,0.00145352,0.00436056,0.00145352,0.00436056,0.00145352
71,1172.91,0.49303,0.2774,0.8819,0.97673,0.9996,0.99453,0.62601,1.2421,0.42796,1.6723,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
72,1188.95,0.57232,0.33943,0.92749,0.99961,1,0.995,0.61738,1.24262,0.42911,1.66833,0.00431304,0.00143768,0.00431304,0.00143768,0.00431304,0.00143768,0.00431304,0.00143768
73,1204.91,0.54735,0.29357,0.9038,0.99876,1,0.995,0.61918,1.22952,0.43311,1.64084,0.00428928,0.00142976,0.00428928,0.00142976,0.00428928,0.00142976,0.00428928,0.00142976
