epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
133,2178.43,0.4043,0.25292,0.84445,0.99922,1,0.995,0.62669,1.22687,0.40247,1.83159,0.00286368,0.00095456,0.00286368,0.00095456,0.00286368,0.00095456,0.00286368,0.00095456
134,2194.35,0.37772,0.23239,0.85752,0.9989,1,0.995,0.62582,1.22737,0.40713,1.82968,0.00283992,0.00094664,0.00283992,0.00094664,0.00283992,0.00094664,0.00283992,0.00094664
135,2210.43,0.39824,0.23469,0.85624,0.9977,1,0.995,0.61506,1.22988,0.43026,1.83869,0.00281616,0.00093872,0.00281616,0.00093872,0.00281616,0.00093872,0.00281616,0.00093872
136,2226.71,0.34936,0.23436,0.85816,0.99914,1,0.995,0.61735,1.20874,0.42909,1.8369,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
137,2242.63,0.37213,0.22538,0.83797,0.99841,1,0.995,0.62727,1.20653,0.428,1.84542,0.00276864,0.00092288,0.00276864,0.00092288,0.00276864,0.00092288,0.00276864,0.00092288
138,2259.47,0.38883,0.23461,0.86044,0.99708,1,0.995,0.62971,1.21389,0.42194,1.86715,0.00274488,0.00091496,0.00274488,0.00091496,0.00274488,0.00091496,0.00274488,0.00091496
139,2275.92,0.34595,0.215,0.84609,0.99622,1,0.995,0.62336,1.21194,0.43326,1.86382,0.00272112,0.00090704,0.00272112,0.00090704,0.00272112,0.00090704,0.00272112,0.00090704
140,2292.04,0.36336,0.23545,0.85225,0.99706,1,0.995,0.62471,1.21974,0.41755,1.86799,0.00269736,0.00089912,0.00269736,0.00089912,0.00269736,0.00089912,0.00269736,0.00089912
141,2308.21,0.37939,0.23603,0.84125,0.99761,1,0.995,0.62474,1.21255,0.40944,1.87271,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
142,2324.28,0.37322,0.22276,0.86152,0.99671,1,0.995,0.61828,1.22934,0.40733,1.89281,0.00264984,0.00088328,0.00264984,0.00088328,0.00264984,0.00088328,0.00264984,0.00088328
143,2340.08,0.38119,0.24462,0.87399,0.99731,1,0.995,0.62427,1.22755,0.40797,1.90598,0.00262608,0.00087536,0.00262608,0.00087536,0.00262608,0.00087536,0.00262608,0.00087536
144,2356.1,0.34629,0.21695,0.84447,0.99855,1,0.995,0.61966,1.22624,0.41558,1.89272,0.00260232,0.00086744,0.00260232,0.00086744,0.00260232,0.00086744,0.00260232,0.00086744
145,2372.75,0.40125,0.23567,0.85292,0.99873,1,0.995,0.62149,1.21049,0.41315,1.88318,0.00257856,0.00085952,0.00257856,0.00085952,0.00257856,0.00085952,0.00257856,0.00085952
146,2388.78,0.36151,0.23473,0.84144,0.99934,1,0.995,0.62821,1.2165,0.42303,1.88281,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
147,2404.89,0.36428,0.21522,0.86703,0.99961,1,0.995,0.61493,1.21392,0.4228,1.87647,0.00253104,0.00084368,0.00253104,0.00084368,0.00253104,0.00084368,0.00253104,0.00084368
148,2420.81,0.35484,0.22204,0.84125,0.99968,1,0.995,0.61879,1.22023,0.41889,1.87901,0.00250728,0.00083576,0.00250728,0.00083576,0.00250728,0.00083576,0.00250728,0.00083576
149,2437.01,0.36244,0.23211,0.86084,0.99989,1,0.995,0.62674,1.21097,0.41625,1.87254,0.00248352,0.00082784,0.00248352,0.00082784,0.00248352,0.00082784,0.00248352,0.00082784
150,2452.96,0.39826,0.23214,0.84329,0.99986,1,0.995,0.63493,1.21061,0.42367,1.88025,0.00245976,0.00081992,0.00245976,0.00081992,0.00245976,0.00081992,0.00245976,0.00081992
151,2469.56,0.3909,0.24149,0.85248,0.99979,1,0.995,0.63675,1.20066,0.41359,1.86151,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
152,2486.59,0.35956,0.22691,0.85294,1,0.99945,0.995,0.63646,1.20546,0.4063,1.85737,0.00241224,0.00080408,0.00241224,0.00080408,0.00241224,0.00080408,0.00241224,0.00080408
153,2502.43,0.36161,0.21978,0.84153,1,0.99904,0.995,0.63848,1.20048,0.40818,1.84164,0.00238848,0.00079616,0.00238848,0.00079616,0.00238848,0.00079616,0.00238848,0.00079616
154,2518.49,0.35191,0.21638,0.85292,1,0.99891,0.995,0.63822,1.20543,0.40795,1.84388,0.00236472,0.00078824,0.00236472,0.00078824,0.00236472,0.00078824,0.00236472,0.00078824
155,2534.87,0.32546,0.21078,0.83908,1,0.9985,0.995,0.63762,1.19679,0.40772,1.83532,0.00234096,0.00078032,0.00234096,0.00078032,0.00234096,0.00078032,0.00234096,0.00078032
156,2550.81,0.3486,0.23142,0.84857,1,0.99833,0.995,0.63467,1.19502,0.4022,1.83044,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
157,2566.88,0.3739,0.22453,0.86389,1,0.9985,0.995,0.60778,1.2005,0.41839,1.84664,0.00229344,0.00076448,0.00229344,0.00076448,0.00229344,0.00076448,0.00229344,0.00076448
158,2583.55,0.3364,0.20918,0.84573,1,0.99854,0.995,0.60798,1.20879,0.42116,1.85158,0.00226968,0.00075656,0.00226968,0.00075656,0.00226968,0.00075656,0.00226968,0.00075656
159,2599.8,0.34749,0.22446,0.83455,1,0.99864,0.995,0.60762,1.20649,0.42093,1.85191,0.00224592,0.00074864,0.00224592,0.00074864,0.00224592,0.00074864,0.00224592,0.00074864
160,2615.88,0.33107,0.2175,0.84131,1,0.9995,0.995,0.61518,1.2023,0.42491,1.86266,0.00222216,0.00074072,0.00222216,0.00074072,0.00222216,0.00074072,0.00222216,0.00074072
161,2631.95,0.35237,0.21991,0.84347,0.99928,1,0.995,0.61184,1.20195,0.40067,1.83922,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
162,2648.19,0.34988,0.21112,0.8487,0.99953,1,0.995,0.61305,1.19721,0.39953,1.82751,0.00217464,0.00072488,0.00217464,0.00072488,0.00217464,0.00072488,0.00217464,0.00072488
163,2664.03,0.36823,0.22567,0.84062,0.99946,1,0.995,0.61972,1.20317,0.40966,1.82789,0.00215088,0.00071696,0.00215088,0.00071696,0.00215088,0.00071696,0.00215088,0.00071696
164,2680.15,0.36271,0.22519,0.89002,0.99984,1,0.995,0.62006,1.19889,0.40714,1.83031,0.00212712,0.00070904,0.00212712,0.00070904,0.00212712,0.00070904,0.00212712,0.00070904
165,2696.85,0.35254,0.21205,0.85911,1,0.99961,0.995,0.62146,1.20042,0.41623,1.83144,0.00210336,0.00070112,0.00210336,0.00070112,0.00210336,0.00070112,0.00210336,0.00070112
166,2712.99,0.31582,0.21898,0.84488,1,0.9993,0.995,0.62051,1.195,0.40837,1.83023,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
167,2729.06,0.33743,0.21473,0.83263,1,0.99958,0.995,0.64232,1.18511,0.39846,1.81021,0.00205584,0.00068528,0.00205584,0.00068528,0.00205584,0.00068528,0.00205584,0.00068528
